"Title","Rating","Reviews","Phone","Industry","Address","Website","Google Maps Link"
"asma bien être spa , hamman,massage","0","0","","","203 N7Ouvert","","https://www.google.com/maps/place/asma+bien+%C3%AAtre+spa+,+hamman,massage/data=!4m7!3m6!1s0xdae68eb09b07903:0x201313d18dd0c2f9!8m2!3d31.6533737!4d-8.021395!16s%2Fg%2F1pty0xtbd!19sChIJA3mwCetorg0R-cLQjdETEyA?authuser=0&hl=fr&rclk=1"
"relooking by angelina","0","0","","","39 lot hamza A","","https://www.google.com/maps/place/relooking+by+angelina/data=!4m7!3m6!1s0xdafedd6d1b07707:0xd9e0cf7a678f3e10!8m2!3d31.666582!4d-8.0104179!16s%2Fg%2F11p02vdgvq!19sChIJB3ew0dbtrw0RED6PZ3rP4Nk?authuser=0&hl=fr&rclk=1"
"Hammam Les Fleurs, Hammam & Spa, Turkish Bath House","0","0","","","","","https://www.google.com/maps/place/Hammam+Les+Fleurs,+Hammam+%26+Spa,+Turkish+Bath+House/data=!4m7!3m6!1s0xdafed26697fdfdd:0xd6f7a2851509877e!8m2!3d31.6664306!4d-8.0262866!16s%2Fg%2F11h261lpd8!19sChIJ3d9_aSbtrw0RfocJFYWi99Y?authuser=0&hl=fr&rclk=1"



